main_category,sub_category,book_id,book_title,book_author,publisher,publish_date,aladin_price,aladin_star,aladin_review,kyobo_price,kyobo_star,kyobo_review,yes24_price,yes24_star,yes24_review,interpark_price,interpark_star,interpark_review
청소년,청소년 과학,17356781,이런 수학은 처음이야,최영기,21세기북스,2020.11.11,14220,10.0,13,14220,9.3,5,15800,9.7,38,14220,10.0,6
청소년,청소년 과학,20641904,수학이 막히면 깨봉 수학,조봉한,매경주니어북스,2021.06.25,13500,9.7,28,13500,9.7,2,15000,9.7,35,13500,0.0,0
청소년,청소년 과학,13599394,인공지능과 4차 산업혁명의 미래,전승민,팜파스,2018.05.20,11700,9.0,14,11700,9.8,4,13000,9.5,24,11700,10.0,2
청소년,청소년 과학,21499217,과학이슈 11 Season 12,신방실,동아엠앤비,2022.02.15,16200,9.8,31,16200,10.0,2,18000,10.0,34,16200,10.0,6
청소년,청소년 과학,12501031,수학 사전,와쿠이 요시유키,그린북,2017.09.05,16200,9.1,9,16200,9.2,8,18000,9.1,30,16200,9.7,14
청소년,청소년 과학,7143796,재밌어서 밤새읽는 화학 이야기,사마키 다케오,더숲,2013.02.13,10800,8.1,14,10800,9.7,5,12000,8.9,31,10800,8.7,17
청소년,청소년 과학,21512383,중학수학 개념사전 93,조안호,폴리버스,2022.02.22,15120,10.0,6,15120,9.6,5,16800,9.9,10,15120,10.0,1
청소년,청소년 과학,16383670,기후 변화 쫌 아는 10대,지유,풀빛,2020.06.25,11700,10.0,8,11700,9.4,1,13000,9.8,16,11700,9.7,7
청소년,청소년 과학,7767419,나쁜 과학자들,비키 오랜스키 위튼스타인,다른,2014.06.27,9900,9.5,12,9900,9.4,1,11000,9.5,7,9900,10.0,1
청소년,청소년 과학,14959139,재밌어서 밤새 읽는 해부학 이야기,사카이 다츠오,더숲,2019.05.20,10800,8.7,6,10800,9.7,5,12000,9.1,17,10800,9.7,7
청소년,청소년 과학,20825454,왜요 기후가 어떤데요?,원형,동녘,2021.08.03,11700,10.0,14,11700,10.0,1,13000,9.9,15,11700,10.0,4
청소년,청소년 과학,7224801,재밌어서 밤새읽는 물리 이야기,사마키 다케오,더숲,2013.06.05,10800,8.9,11,10800,9.5,6,12000,9.0,20,10800,9.3,11
